Gene1,Gene2,score
FGF9,PGD2,0.19347855116012275
PGD2,FGF9,0.19347855116011978
AMH,DHH,0.17119147490974893
DHH,AMH,0.17119147490974154
AMH,NR0B1,0.14021930161043433
NR5A1,SOX9,0.12801452621278467
SOX9,NR5A1,0.12801452621276935
DMRT1,SRY,0.12610174587430098
DMRT1,DKK1,0.12101012904376424
DKK1,DMRT1,0.12101012904375541
AMH,RSPO1,0.11823962630530563
NR5A1,UGR,0.11266262431810188
UGR,WT1pKTS,0.11209782757196511
DHH,WNT4,0.10719986933461881
DHH,WT1mKTS,0.10637819854902475
FGF9,CBX2,0.10363992183620493
DHH,FOXL2,0.10271840165852528
PGD2,CTNNB1,0.09848595237571783
DHH,GATA4,0.09529078591707152
NR0B1,AMH,0.05455960342388752
FGF9,AMH,0.047925347605600827
AMH,FGF9,0.0345704139888908
SOX9,FGF9,0.03349656759004044
AMH,PGD2,0.029491980441442855
DHH,PGD2,0.02693759737687973
WNT4,NR0B1,0.025823091413304175
PGD2,DHH,0.02489249957488862
FOXL2,SOX9,0.02412665565406323
PGD2,AMH,0.023249789335088866
WT1mKTS,AMH,0.021386874536240677
UGR,CBX2,0.021099599152899592
RSPO1,UGR,0.021017815841902057
CTNNB1,DHH,0.019591773835464635
FGF9,DKK1,0.019448708795213557
CTNNB1,UGR,0.018912343702520942
UGR,SRY,0.018748104662323073
FGF9,NR5A1,0.018329656308331416
CBX2,WT1mKTS,0.018290902919772867
RSPO1,DMRT1,0.018006387987690164
SOX9,CTNNB1,0.017338343518336685
GATA4,AMH,0.016934221014545642
CTNNB1,NR0B1,0.016763725431220733
FOXL2,WT1pKTS,0.01672936243683025
WT1pKTS,AMH,0.015345825528958093
DMRT1,NR5A1,0.014844655630240608
CBX2,DMRT1,0.014786218991110767
DHH,UGR,0.013788310629274977
SRY,WT1mKTS,0.013716404601075219
FGF9,DHH,0.013369695019138164
RSPO1,DHH,0.013144054514018885
SOX9,RSPO1,0.01293070436686844
SRY,FOXL2,0.012702929074371205
SRY,UGR,0.012580703231531182
CTNNB1,WT1mKTS,0.012441690564117175
WT1mKTS,WNT4,0.012357131094277149
RSPO1,NR0B1,0.012173819249433268
UGR,FOXL2,0.012101177634971275
SRY,DKK1,0.011926587577118203
NR0B1,WT1mKTS,0.011909800716255983
DKK1,DHH,0.011733476439147142
SRY,WNT4,0.011690597156805038
DKK1,CTNNB1,0.011466122870903775
SOX9,DHH,0.011394813152462435
DKK1,WT1pKTS,0.011189914715478047
DMRT1,PGD2,0.011027466578004672
RSPO1,CTNNB1,0.010952399352181993
WT1pKTS,CTNNB1,0.010896021177287094
WT1pKTS,SOX9,0.010475997405337
GATA4,UGR,0.010004975870698735
WNT4,DKK1,0.009980240326084272
FOXL2,AMH,0.009219089606922207
WT1mKTS,WT1pKTS,0.009043263527958936
GATA4,WT1mKTS,0.009016569409088723
DHH,SOX9,0.008824219440686329
CBX2,DHH,0.0078303984092402
