Gene1,Gene2,score
AMH,CBX2,9063694.097048767
RSPO1,WT1pKTS,9063694.097048767
RSPO1,NR5A1,9063694.097048767
RSPO1,SOX9,9063694.097048767
RSPO1,GATA4,9063694.097048767
RSPO1,SRY,9063694.097048767
RSPO1,FOXL2,9063694.097048767
RSPO1,FGF9,9063694.097048767
RSPO1,UGR,9063694.097048767
RSPO1,DMRT1,9063694.097048767
RSPO1,PGD2,9063694.097048767
RSPO1,DKK1,9063694.097048767
RSPO1,WT1mKTS,9063694.097048767
RSPO1,DHH,9063694.097048767
RSPO1,CTNNB1,9063694.097048767
RSPO1,WNT4,9063694.097048767
RSPO1,NR0B1,9063694.097048767
SOX9,RSPO1,9063694.097048767
RSPO1,AMH,9063694.097048767
NR0B1,CTNNB1,3.725290298461914e-09
AMH,GATA4,3.725290298461914e-09
FGF9,AMH,3.725290298461914e-09
FGF9,FOXL2,3.725290298461914e-09
GATA4,FOXL2,3.725290298461914e-09
CBX2,FOXL2,3.725290298461914e-09
AMH,FOXL2,3.725290298461914e-09
NR0B1,FOXL2,3.725290298461914e-09
AMH,RSPO1,3.725290298461914e-09
FGF9,GATA4,3.725290298461914e-09
FOXL2,GATA4,3.725290298461914e-09
CBX2,GATA4,3.725290298461914e-09
DKK1,GATA4,3.725290298461914e-09
DMRT1,AMH,3.725290298461914e-09
CBX2,RSPO1,3.725290298461914e-09
FGF9,NR5A1,3.725290298461914e-09
GATA4,NR5A1,3.725290298461914e-09
FOXL2,RSPO1,3.725290298461914e-09
FOXL2,NR5A1,3.725290298461914e-09
CBX2,NR5A1,3.725290298461914e-09
GATA4,RSPO1,3.725290298461914e-09
FGF9,PGD2,3.725290298461914e-09
GATA4,PGD2,3.725290298461914e-09
FOXL2,PGD2,3.725290298461914e-09
CBX2,PGD2,3.725290298461914e-09
AMH,FGF9,3.725290298461914e-09
CBX2,FGF9,3.725290298461914e-09
GATA4,CTNNB1,3.725290298461914e-09
FOXL2,FGF9,3.725290298461914e-09
FOXL2,CTNNB1,3.725290298461914e-09
CBX2,CTNNB1,3.725290298461914e-09
FGF9,CTNNB1,3.725290298461914e-09
FGF9,DHH,3.725290298461914e-09
FOXL2,DHH,3.725290298461914e-09
NR0B1,DHH,3.725290298461914e-09
GATA4,DHH,3.725290298461914e-09
CTNNB1,DHH,3.725290298461914e-09
CTNNB1,AMH,3.725290298461914e-09
FGF9,DKK1,3.725290298461914e-09
NR0B1,DKK1,3.725290298461914e-09
GATA4,DKK1,3.725290298461914e-09
FOXL2,DKK1,3.725290298461914e-09
CTNNB1,DKK1,3.725290298461914e-09
GATA4,AMH,3.725290298461914e-09
FGF9,DMRT1,3.725290298461914e-09
GATA4,DMRT1,3.725290298461914e-09
NR0B1,AMH,3.725290298461914e-09
FOXL2,DMRT1,3.725290298461914e-09
CTNNB1,DMRT1,3.725290298461914e-09
CBX2,DMRT1,3.725290298461914e-09
DMRT1,FGF9,3.725290298461914e-09
GATA4,FGF9,3.725290298461914e-09
AMH,PGD2,3.725290298461914e-09
AMH,NR5A1,3.725290298461914e-09
FGF9,RSPO1,3.725290298461914e-09
DKK1,WNT4,3.725290298461914e-09
FGF9,WT1pKTS,3.725290298461914e-09
FOXL2,UGR,3.725290298461914e-09
DKK1,UGR,3.725290298461914e-09
CBX2,UGR,3.725290298461914e-09
CBX2,NR0B1,3.725290298461914e-09
FOXL2,NR0B1,3.725290298461914e-09
GATA4,NR0B1,3.725290298461914e-09
FGF9,NR0B1,3.725290298461914e-09
FGF9,WNT4,3.725290298461914e-09
GATA4,WNT4,3.725290298461914e-09
FOXL2,WNT4,3.725290298461914e-09
FGF9,UGR,3.725290298461914e-09
CBX2,WNT4,3.725290298461914e-09
CBX2,WT1pKTS,3.725290298461914e-09
FOXL2,WT1pKTS,3.725290298461914e-09
WT1pKTS,WT1mKTS,3.725290298461914e-09
DKK1,WT1mKTS,3.725290298461914e-09
DMRT1,WT1mKTS,3.725290298461914e-09
GATA4,WT1pKTS,3.725290298461914e-09
DKK1,WT1pKTS,3.725290298461914e-09
GATA4,WT1mKTS,3.725290298461914e-09
FOXL2,WT1mKTS,3.725290298461914e-09
AMH,NR0B1,3.725290298461914e-09
GATA4,UGR,3.725290298461914e-09
FOXL2,SRY,3.725290298461914e-09
GATA4,SRY,3.725290298461914e-09
CTNNB1,CBX2,3.725290298461914e-09
CBX2,SOX9,3.725290298461914e-09
DKK1,SOX9,3.725290298461914e-09
NR0B1,CBX2,3.725290298461914e-09
FGF9,SRY,3.725290298461914e-09
FOXL2,SOX9,3.725290298461914e-09
GATA4,SOX9,3.725290298461914e-09
GATA4,CBX2,3.725290298461914e-09
FOXL2,CBX2,3.725290298461914e-09
FGF9,CBX2,3.725290298461914e-09
DKK1,SRY,3.725290298461914e-09
CBX2,SRY,3.725290298461914e-09
FGF9,SOX9,3.725290298461914e-09
AMH,WT1pKTS,1.862645149230957e-09
CBX2,DHH,1.862645149230957e-09
DHH,CBX2,1.862645149230957e-09
DKK1,CBX2,1.862645149230957e-09
AMH,DHH,1.862645149230957e-09
CBX2,AMH,1.862645149230957e-09
DHH,RSPO1,1.862645149230957e-09
DHH,WT1pKTS,1.862645149230957e-09
DMRT1,CTNNB1,1.862645149230957e-09
DHH,CTNNB1,1.862645149230957e-09
DKK1,RSPO1,1.862645149230957e-09
DKK1,AMH,1.862645149230957e-09
DMRT1,RSPO1,1.862645149230957e-09
DKK1,CTNNB1,1.862645149230957e-09
DMRT1,WT1pKTS,1.862645149230957e-09
DMRT1,NR0B1,1.862645149230957e-09
DKK1,NR0B1,1.862645149230957e-09
CTNNB1,NR0B1,1.862645149230957e-09
FOXL2,AMH,1.862645149230957e-09
DMRT1,DHH,1.862645149230957e-09
DMRT1,PGD2,1.862645149230957e-09
FGF9,WT1mKTS,1.862645149230957e-09
AMH,WT1mKTS,1.862645149230957e-09
DMRT1,FOXL2,1.862645149230957e-09
DMRT1,SRY,1.862645149230957e-09
DHH,SRY,1.862645149230957e-09
AMH,SRY,1.862645149230957e-09
CTNNB1,GATA4,1.862645149230957e-09
DHH,GATA4,1.862645149230957e-09
DMRT1,GATA4,1.862645149230957e-09
DMRT1,SOX9,1.862645149230957e-09
DHH,SOX9,1.862645149230957e-09
DMRT1,CBX2,1.862645149230957e-09
DKK1,NR5A1,1.862645149230957e-09
DHH,NR5A1,1.862645149230957e-09
DMRT1,NR5A1,1.862645149230957e-09
AMH,SOX9,1.862645149230957e-09
DKK1,PGD2,1.862645149230957e-09
DKK1,FOXL2,1.862645149230957e-09
CTNNB1,FOXL2,1.862645149230957e-09
AMH,UGR,1.862645149230957e-09
AMH,WNT4,1.862645149230957e-09
CBX2,WT1mKTS,1.862645149230957e-09
CBX2,DKK1,1.862645149230957e-09
AMH,DKK1,1.862645149230957e-09
DMRT1,DKK1,1.862645149230957e-09
DMRT1,WNT4,1.862645149230957e-09
DHH,PGD2,1.862645149230957e-09
AMH,DMRT1,1.862645149230957e-09
DHH,UGR,1.862645149230957e-09
DKK1,DMRT1,1.862645149230957e-09
NR0B1,DMRT1,1.862645149230957e-09
DMRT1,UGR,1.862645149230957e-09
CTNNB1,FGF9,1.862645149230957e-09
DKK1,FGF9,1.862645149230957e-09
NR0B1,FGF9,1.862645149230957e-09
DHH,WNT4,1.862645149230957e-09
